Index,Program.Name,City,Country,Region,College
1,"Amsterdam, Netherlands: Dutch Criminal and Social Justice (Summer)",multiple cities,Netherlands,Europe,The Pennsylvania State University
2,"Arusha, Tanzania: Biology of Eco-Health (Summer)",multiple cities,Tanzania,Africa,The Pennsylvania State University
3,"Athens, Greece: History, Culture, and Archaeology of Greece",multiple cities,Greece,Europe,The Pennsylvania State University
4,"Barcelona, Spain: Landscape Architecture, Dept LARCH (Summer)",multiple cities,Spain,Europe,The Pennsylvania State University
5,"Besancon, France: Intensive French Language and Cultural Immersion (Summer)",Besançon,France,Europe,The Pennsylvania State University
6,"Brno, Czech Republic: Business in Central Europe (Summer)",multiple cities,Austria,Europe,The Pennsylvania State University
7,"Brno, Czech Republic: Business in Central Europe (Summer)",multiple cities,Czech Republic,Europe,The Pennsylvania State University
8,"Brno, Czech Republic: Business in Central Europe (Summer)",multiple cities,Hungary,Europe,The Pennsylvania State University
9,"Brno, Czech Republic: Business in Central Europe (Summer)",multiple cities,Poland,Europe,The Pennsylvania State University
10,"Cadiz, Spain: Spanish Language and Culture (Summer)",multiple cities,Spain,Europe,The Pennsylvania State University
11,"Cairo, Egypt: Ancient Egyptian History (Summer)",multiple cities,Egypt,multiple regions,The Pennsylvania State University
12,"Cape Town, South Africa: Women's Gender and Reproductive Studies (Maymester)",Cape Town,South Africa,Africa,The Pennsylvania State University
13,"Como, Italy: Cross-cultural Engagement and Technical Presentation for Engineers (Summer)",Como,Italy,Europe,The Pennsylvania State University
14,"Copenhagen, Denmark: Biking Culture and Urban Design (Maymester)",Copenhagen,Denmark,Europe,The Pennsylvania State University
15,"Dublin, Ireland: Communication, Arts, and Sciences in Ireland (Maymester)",multiple cities,Ireland,Europe,The Pennsylvania State University
16,"Dublin, Ireland: Culture and Disability (Summer)",multiple cities,Ireland,Europe,The Pennsylvania State University
17,"Dublin, Ireland: Ireland's Equine Industry (Maymester)",multiple cities,Ireland,Europe,The Pennsylvania State University
18,"Dublin, Ireland: Representing the Irish Landscape, Literature and Visual Arts (Summer)",multiple cities,Ireland,Europe,The Pennsylvania State University
19,"Edinburgh, Scotland: Sustainability in Landscape (Summer)",multiple cities,United Kingdom,Europe,The Pennsylvania State University
20,"Florence, Italy: HDFS in Florence, Dept HDFS (Summer)",multiple cities,Italy,Europe,The Pennsylvania State University
21,"Florence, Italy: The World of Business and Italian Culture, Dept BUS (Summer)",Florence,Italy,Europe,The Pennsylvania State University
22,"Galapagos, Ecuador: Engineering Design, Dept EDSGN (Maymester)",multiple cities,Ecuador,South America,The Pennsylvania State University
23,Global Health Fieldwork Experience in Ecuador,multiple cities,Ecuador,multiple regions,The Pennsylvania State University
24,Global Health Fieldwork Experience in South Africa,multiple cities,South Africa,Africa,The Pennsylvania State University
25,"Grenada, West Indies: Pre-Med at St. George's University (Summer)",Saint George's,Grenada,Latin America,The Pennsylvania State University
26,Korea/Japan: Summer Study Abroad for Design Majors (Summer),multiple cities,Japan,Asia,The Pennsylvania State University
27,Korea/Japan: Summer Study Abroad for Design Majors (Summer),multiple cities,South Korea,Asia,The Pennsylvania State University
28,"Lima, Peru: Cross-cultural Engagement (Maymester)",multiple cities,Peru,multiple regions,The Pennsylvania State University
29,"Lisbon, Portugal: Penn State in Portugal (Maymester)",Lisbon,Portugal,Europe,The Pennsylvania State University
30,"London, United Kingdom: Adulthood and Families (Maymester)",London,United Kingdom,Europe,The Pennsylvania State University
31,"London, United Kingdom: Business in London (Maymester)",multiple cities,United Kingdom,Europe,The Pennsylvania State University
32,"London, United Kingdom: Literary London (Summer)",multiple cities,United Kingdom,Europe,The Pennsylvania State University
33,"London, United Kingdom: Theatre Studies Program (Maymester)",London,United Kingdom,Europe,The Pennsylvania State University
34,"Manaus, Brazil: Mechanical Engineering and Research (Summer)",Manaus,Brazil,South America,The Pennsylvania State University
35,"Monteverde, Costa Rica: Sustainability in Business (Maymester)",multiple cities,Costa Rica,multiple regions,The Pennsylvania State University
36,"Navarra, Spain: Engineering Design, Dept EDSGN (Maymester)",San Sebastian,Spain,Europe,The Pennsylvania State University
