"participant_id","autonomy","relatedness","competence","positive_affect"
10001,"Most of the time","Most of the time","A little",3
10002,"Some of the time","Rarely","Some",2.666666666667
10010,"All of the time","All of the time","A lot",5
10015,"Most of the time","Some of the time","A little",2.333333333333
10018,"Most of the time","Some of the time","Some",3.666666666667
10019,"Some of the time","Most of the time","A lot",2.833333333333
10036,"All of the time","Rarely","A lot",4
10037,"Some of the time","Some of the time","A little",2.166666666667
10040,"Some of the time","Rarely","Some",3.333333333333
10042,"Some of the time","Most of the time","A lot",3.833333333333
10046,"Rarely","Most of the time","A little",3.166666666667
10047,"Some of the time","Most of the time","Some",3
10050,"All of the time","Most of the time","A lot",3
10060,"All of the time","All of the time","Some",3.666666666667
10061,"All of the time","Most of the time","A lot",3.666666666667
10063,"All of the time","Rarely","A lot",4
10065,"Most of the time","Most of the time","Some",4.5
10066,"Rarely","Some of the time","A little",2.333333333333
10067,"Some of the time","Most of the time","Some",3.833333333333
10083,"Most of the time","Most of the time","Some",3.666666666667
10085,"Most of the time","Most of the time","Some",3.333333333333
10087,"Some of the time","Most of the time","A lot",3.5
10088,"Most of the time","Most of the time","Some",3.333333333333
10093,"Most of the time","Some of the time","A lot",4
10094,"Most of the time","Most of the time","A lot",4
10098,"Some of the time","Most of the time","A little",3.5
10099,"Some of the time","Most of the time","A lot",4.166666666667
10100,"Some of the time","Some of the time","Some",3.5
10105,"Some of the time","Most of the time","Some",3.5
10106,"Most of the time","Most of the time","A lot",3.833333333333
10107,"Most of the time","Most of the time","A lot",3.333333333333
10108,"Most of the time","Most of the time","Some",3.333333333333
10110,"Most of the time","Most of the time","Some",4
10114,"Some of the time","Some of the time","A lot",4.333333333333
10118,"All of the time","Most of the time","A lot",3.833333333333
10119,"Most of the time","Some of the time","Some",1.166666666667
10120,"Some of the time","Some of the time","Some",2.833333333333
10129,"All of the time","Most of the time","Some",3
10130,"All of the time","Most of the time","A lot",3.166666666667
10137,"All of the time","All of the time","Some",4
10139,"All of the time","Most of the time","A lot",3.333333333333
10141,"Most of the time","All of the time","A lot",2.333333333333
10143,"Some of the time","Most of the time","A little",3.833333333333
10146,"Some of the time","All of the time","Some",3.833333333333
10153,"Most of the time","Most of the time","Some",3.166666666667
10164,"Most of the time","Most of the time","Some",2.5
10171,"Most of the time","Most of the time","Some",3.166666666667
10175,"Most of the time","Most of the time","Some",3
10186,"Rarely","Most of the time","Some",3.5
10196,"Some of the time","Most of the time","Some",4.333333333333
10197,"Most of the time","Some of the time","A lot",2.833333333333
10202,"All of the time","All of the time","Some",4.166666666667
10218,"Some of the time","Most of the time","A lot",3.333333333333
10221,"Some of the time","All of the time","Some",2.666666666667
10225,"Some of the time","Most of the time","Some",3.166666666667
10230,"Most of the time","Most of the time","A little",3.5
10234,"Most of the time","Most of the time","Some",3.833333333333
10235,"Most of the time","Some of the time","A lot",4.333333333333
10241,"Some of the time","Most of the time","Some",4
10243,"Most of the time","Most of the time","A lot",3.666666666667
10244,"Most of the time","Most of the time","Some",3.833333333333
10246,"Some of the time","Most of the time","Some",4
10252,"Some of the time","Most of the time","Some",4
10256,"Some of the time","Some of the time","A little",3.666666666667
10263,"Some of the time","Most of the time","Some",3.166666666667
10265,"Some of the time","Some of the time","A little",3.666666666667
10269,"Most of the time","Most of the time","Some",2.833333333333
10280,"Rarely","Most of the time","Some",4
10287,"All of the time","All of the time","A little",3.166666666667
10290,"Some of the time","Some of the time","A lot",3.5
10294,"Some of the time","Most of the time","Some",3.833333333333
10295,"Rarely","Most of the time","Some",4
10301,"Some of the time","Most of the time","Some",3.666666666667
10303,"Some of the time","Most of the time","A little",2.666666666667
10304,"Most of the time","Most of the time","Some",3.666666666667
10305,"Most of the time","All of the time","A little",3.666666666667
10306,"Most of the time","Some of the time","A little",2.5
10309,"Most of the time","Some of the time","A little",3.5
10311,"Most of the time","Most of the time","Some",3.333333333333
10313,"Some of the time","Most of the time","Some",3
10323,"Some of the time","Most of the time","A lot",4.166666666667
10325,"Most of the time","Most of the time","A lot",2.5
10326,"All of the time","Some of the time","Some",4.333333333333
10336,"All of the time","Most of the time","A lot",4
10337,"Most of the time","Most of the time","Some",3.333333333333
10338,"Most of the time","Some of the time","Not at all",1.666666666667
10339,"All of the time","Most of the time","A lot",3.666666666667
10341,"Rarely","Some of the time","Some",2.833333333333
10344,"Most of the time","Most of the time","A little",3
10347,"Most of the time","Most of the time","Some",3.833333333333
